SNP,Chromosome,Position,WEIR_AND_COCKERHAM_FST
1_3340001,1,3340001,0.0111575
1_3345001,1,3345001,0.0774396
1_3350001,1,3350001,0.0797198
1_3355001,1,3355001,0.118442
1_3360001,1,3360001,0.146596
1_3370001,1,3370001,-0.0035584
1_3375001,1,3375001,0.123813
1_3380001,1,3380001,0.0651188
1_3385001,1,3385001,0.0958767
1_3390001,1,3390001,0.236796
1_3395001,1,3395001,0.311902
1_3400001,1,3400001,-0.050821
1_3405001,1,3405001,0.0466889
1_3410001,1,3410001,0.489125
1_3415001,1,3415001,0.215521
1_3420001,1,3420001,0.49655
1_3425001,1,3425001,0.130696
1_3430001,1,3430001,0.128844
1_3435001,1,3435001,-0.0396096
1_3440001,1,3440001,0.102645
1_3445001,1,3445001,0.23277
1_3450001,1,3450001,0.179665
1_3455001,1,3455001,0.294165
1_3460001,1,3460001,0.145025
1_3465001,1,3465001,0.0588519
1_3470001,1,3470001,0.305839
1_3475001,1,3475001,0.0377461
1_3480001,1,3480001,0.0257998
1_3485001,1,3485001,0.314505
1_3490001,1,3490001,0.0343906
1_3495001,1,3495001,0.104779
1_3500001,1,3500001,0.14127
1_3505001,1,3505001,-0.0329123
1_3510001,1,3510001,0.0661852
1_3515001,1,3515001,0.0134901
1_3520001,1,3520001,0.181058
1_3525001,1,3525001,0.137468
1_3530001,1,3530001,-0.0232422
1_3535001,1,3535001,0.0452296
1_3540001,1,3540001,0.0685831
1_3545001,1,3545001,0.366924
1_3555001,1,3555001,-0.0325359
1_3560001,1,3560001,-0.0325359
1_3565001,1,3565001,0.00700282
1_3570001,1,3570001,0.0246467
1_3575001,1,3575001,0.103915
1_3580001,1,3580001,0.244913
1_3585001,1,3585001,0.0365893
1_3590001,1,3590001,0.136468
1_3595001,1,3595001,0.120083
1_3600001,1,3600001,0.172333
1_3605001,1,3605001,-0.0227371
1_3610001,1,3610001,0.116533
1_3615001,1,3615001,0.181058
1_3620001,1,3620001,0.181058
1_3625001,1,3625001,0.048552
1_3630001,1,3630001,0.0260048
1_3635001,1,3635001,-0.04513
1_3640001,1,3640001,-0.0324351
1_3645001,1,3645001,0.178191
1_3650001,1,3650001,0.0509399
1_3655001,1,3655001,-0.050821
1_3675001,1,3675001,0.536198
1_3680001,1,3680001,0.192376
1_3685001,1,3685001,-0.0230892
1_3690001,1,3690001,0.171939
1_3700001,1,3700001,0.0109013
1_3705001,1,3705001,0.196884
1_3710001,1,3710001,0.0391914
1_3715001,1,3715001,0.00773046
1_3720001,1,3720001,0.00527308
1_3725001,1,3725001,0.11871
1_3730001,1,3730001,0.0661792
1_3735001,1,3735001,0.141454
1_3740001,1,3740001,0.0164876
1_3745001,1,3745001,0.292344
1_3750001,1,3750001,0.0391709
1_3755001,1,3755001,0.0999516
1_3760001,1,3760001,0.079061
1_3765001,1,3765001,0.0229119
1_3770001,1,3770001,0.059091
1_3775001,1,3775001,-0.0140146
1_3780001,1,3780001,0.039202
1_3785001,1,3785001,0.190606
1_3790001,1,3790001,0.0723267
1_3795001,1,3795001,0.0865493
1_3800001,1,3800001,0.106133
1_3810001,1,3810001,0.00494871
1_3815001,1,3815001,-0.0447259
1_3820001,1,3820001,0.176324
1_3825001,1,3825001,0.250465
1_3830001,1,3830001,0.049988
1_3835001,1,3835001,0.233174
1_3840001,1,3840001,0.0150855
1_3845001,1,3845001,0.107814
1_3850001,1,3850001,0.0880673
1_3855001,1,3855001,0.120141
1_3860001,1,3860001,0.0547849
1_3865001,1,3865001,0.15889
1_3870001,1,3870001,0.037199
1_3875001,1,3875001,0.0153927
1_3880001,1,3880001,0.0525735
1_3885001,1,3885001,0.0437238
1_3890001,1,3890001,-0.050821
1_3895001,1,3895001,0.0883601
1_3900001,1,3900001,-0.0216727
1_3905001,1,3905001,-0.050821
1_3910001,1,3910001,-0.050821
1_3915001,1,3915001,0.0146148
1_3920001,1,3920001,0.290396
1_3925001,1,3925001,-0.0414666
1_3930001,1,3930001,0.149931
1_3935001,1,3935001,0.172258
1_3940001,1,3940001,0.159297
1_3945001,1,3945001,-0.0221686
1_3950001,1,3950001,0.00103724
1_3955001,1,3955001,0.179363
1_3960001,1,3960001,0.0981111
1_3970001,1,3970001,0.00714891
1_3975001,1,3975001,-0.0113183
1_3980001,1,3980001,0.0612015
1_3985001,1,3985001,0.0437042
1_3990001,1,3990001,-0.020041
1_3995001,1,3995001,0.079507
1_4000001,1,4000001,0.182798
1_4005001,1,4005001,0.107002
1_4010001,1,4010001,0.232712
1_4015001,1,4015001,0.0159866
1_4020001,1,4020001,0.0748958
1_4025001,1,4025001,0.283048
1_4030001,1,4030001,0.139914
1_4035001,1,4035001,0.24193
1_4040001,1,4040001,-0.027413
1_4045001,1,4045001,0.0241636
1_4060001,1,4060001,0.0651188
1_4065001,1,4065001,-0.0333014
1_4070001,1,4070001,0.137992
1_4075001,1,4075001,0.169341
1_4080001,1,4080001,0.00247214
1_4085001,1,4085001,-0.0123177
1_4090001,1,4090001,-0.00938624
1_4095001,1,4095001,0.147119
1_4100001,1,4100001,0.14118
1_4105001,1,4105001,0.339694
1_4110001,1,4110001,0.142064
1_4115001,1,4115001,0.0601783
1_4120001,1,4120001,0.0356757
1_4125001,1,4125001,-0.0315027
1_4130001,1,4130001,-0.0415682
1_4135001,1,4135001,-0.00229461
1_4140001,1,4140001,-0.000364252
1_4145001,1,4145001,0.313941
1_4150001,1,4150001,-0.00821584
1_4155001,1,4155001,0.216455
1_4160001,1,4160001,0.0623124
1_4165001,1,4165001,-0.00418615
1_4170001,1,4170001,0.0241636
1_4175001,1,4175001,-0.0199402
1_4180001,1,4180001,0.848677
1_4185001,1,4185001,0.0254894
1_4190001,1,4190001,0.376711
1_4195001,1,4195001,0.0603413
1_4200001,1,4200001,0.0778611
1_4205001,1,4205001,0.0489762
1_4210001,1,4210001,0.0429401
1_4215001,1,4215001,-0.00754615
1_4220001,1,4220001,0.0634916
1_4225001,1,4225001,0.0684237
1_4230001,1,4230001,0.00440874
1_4235001,1,4235001,0.0162931
1_4240001,1,4240001,0.117039
